""	"PotRichness"	"HOa"	"HOb"	"DWa"	"DWb"	"MGa"	"MGb"	"SHa"	"SHb"	"Lambda"	"File"	"Variable"	"PDF"	"Model"
"49"	"11"	"1.32755e-05"	"9.843797"	"798.2519"	"800"	"0"	"1e+07"	"58.33083"	"70.78317"	"423.6635"	"./Results/Model Fits/Abu3/GRFA_PIUNs_pool.nomg.model.txt"	"GRFA"	"PIUNs"	"nomg.model"
"50"	"9.030819"	"1e-05"	"10.0177"	"6.161433"	"5.651048"	"0"	"1e+07"	"50.74668"	"105.2433"	"5.532318"	"./Results/Model Fits/Abu3/GRNA_PIUNs_pool.nomg.model.txt"	"GRNA"	"PIUNs"	"nomg.model"
"51"	"23"	"30"	"16.14094"	"1.190661e-05"	"391.6287"	"0"	"1e+07"	"100"	"98.88079"	"374.1674"	"./Results/Model Fits/Abu3/NOCA_PIUNs_pool.nomg.model.txt"	"NOCA"	"PIUNs"	"nomg.model"
"52"	"24"	"30"	"16.22865"	"1e-05"	"614.921"	"0"	"1e+07"	"1e-05"	"181.0845"	"632.829"	"./Results/Model Fits/Abu3/OVFA_PIUNs_pool.nomg.model.txt"	"OVFA"	"PIUNs"	"nomg.model"
"53"	"18"	"30"	"12.9243"	"1.000012e-05"	"479.8312"	"0"	"1e+07"	"100"	"119.7136"	"9.998469"	"./Results/Model Fits/Abu3/OVNA_PIUNs_pool.nomg.model.txt"	"OVNA"	"PIUNs"	"nomg.model"
"54"	"16"	"29.99999"	"15.56827"	"217.5537"	"320.3988"	"0"	"1e+07"	"1.000054e-05"	"121.2732"	"946.4725"	"./Results/Model Fits/Abu3/SECA_PIUNs_pool.nomg.model.txt"	"SECA"	"PIUNs"	"nomg.model"
"55"	"20"	"30"	"15.4954"	"22.50946"	"799.0411"	"0"	"1e+07"	"0.002062103"	"194.0422"	"279.1093"	"./Results/Model Fits/Abu3/SPEA_PIUNs_pool.nomg.model.txt"	"SPEA"	"PIUNs"	"nomg.model"
"56"	"30"	"30"	"19.547"	"1e-05"	"643.4893"	"0"	"1e+07"	"100"	"200"	"995.2642"	"./Results/Model Fits/Abu3/TOTA_PIUNs_pool.nomg.model.txt"	"TOTA"	"PIUNs"	"nomg.model"
"57"	"4"	"30"	"13.91006"	"782.8737"	"800"	"0"	"1e+07"	"99.90437"	"144.0903"	"193.6389"	"./Results/Model Fits/Abu3/TRFA_PIUNs_pool.nomg.model.txt"	"TRFA"	"PIUNs"	"nomg.model"
"58"	"7.002019"	"1.046527e-05"	"7.535627"	"10.9063"	"23.28566"	"0"	"1e+07"	"0.08916649"	"95.62492"	"382.019"	"./Results/Model Fits/Abu3/UBIA_PIUNs_pool.nomg.model.txt"	"UBIA"	"PIUNs"	"nomg.model"
"59"	"8.000334"	"30"	"12.54575"	"1e-05"	"108.0673"	"0"	"1e+07"	"99.99364"	"75.20908"	"324.8953"	"./Results/Model Fits/Abu3/UNFA_PIUNs_pool.nomg.model.txt"	"UNFA"	"PIUNs"	"nomg.model"
"60"	"9.000011"	"30"	"12.95948"	"1e-05"	"113.1214"	"0"	"1e+07"	"99.9857"	"75.84513"	"125.2228"	"./Results/Model Fits/Abu3/UNNA_PIUNs_pool.nomg.model.txt"	"UNNA"	"PIUNs"	"nomg.model"
"61"	"18.00001"	"30"	"15.59757"	"237.7855"	"369.9191"	"99.98697"	"199.9969"	"0"	"1e+07"	"2.049537"	"./Results/Model Fits/Abu3/CVNA_PIUNs_pool.nosh.model.txt"	"CVNA"	"PIUNs"	"nosh.model"
"62"	"4"	"29.9996"	"15.56859"	"796.4945"	"799.5816"	"99.93214"	"99.04896"	"0"	"1e+07"	"73.8424"	"./Results/Model Fits/Abu3/EXCA_PIUNs_pool.nosh.model.txt"	"EXCA"	"PIUNs"	"nosh.model"
"63"	"18.43156"	"1e-05"	"15.68651"	"800"	"799.9991"	"99.51031"	"199.9998"	"0"	"1e+07"	"76.95982"	"./Results/Model Fits/Abu3/GENA_PIUNs_pool.nosh.model.txt"	"GENA"	"PIUNs"	"nosh.model"
"64"	"11"	"1.002577e-05"	"10.22174"	"799.1346"	"762.6783"	"0.06926086"	"82.16425"	"0"	"1e+07"	"92.36854"	"./Results/Model Fits/Abu3/GRFA_PIUNs_pool.nosh.model.txt"	"GRFA"	"PIUNs"	"nosh.model"
"65"	"9"	"1.000001e-05"	"9.717268"	"6.834109"	"6.951485"	"88.02376"	"145.4347"	"0"	"1e+07"	"83.06976"	"./Results/Model Fits/Abu3/GRNA_PIUNs_pool.nosh.model.txt"	"GRNA"	"PIUNs"	"nosh.model"
"66"	"23"	"1e-05"	"17.17691"	"779.5881"	"800"	"1.020622e-05"	"188.1291"	"0"	"1e+07"	"5.419292"	"./Results/Model Fits/Abu3/NOCA_PIUNs_pool.nosh.model.txt"	"NOCA"	"PIUNs"	"nosh.model"
"67"	"24"	"30"	"16.08281"	"1.020944e-05"	"631.6063"	"8.90923e-05"	"174.7588"	"0"	"1e+07"	"26.30897"	"./Results/Model Fits/Abu3/OVFA_PIUNs_pool.nosh.model.txt"	"OVFA"	"PIUNs"	"nosh.model"
"68"	"18"	"1e-05"	"16.45765"	"800"	"799.981"	"100"	"127.9659"	"0"	"1e+07"	"99.94414"	"./Results/Model Fits/Abu3/OVNA_PIUNs_pool.nosh.model.txt"	"OVNA"	"PIUNs"	"nosh.model"
"69"	"16"	"30"	"14.82798"	"212.0744"	"324.1465"	"0.08226844"	"154.0604"	"0"	"1e+07"	"7.543081"	"./Results/Model Fits/Abu3/SECA_PIUNs_pool.nosh.model.txt"	"SECA"	"PIUNs"	"nosh.model"
